policy,workload,queue_depth,bank_count,refresh_interval,thread_count,completed_requests,dropped_requests,avg_latency_cycles,p95_latency_cycles,avg_wait_cycles,throughput_req_per_cycle,throughput_req_per_kcycle,row_buffer_hit_rate,jains_fairness,bank_utilization
fcfs,workload2_sequential.txt,32,8,1.0,8,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload3_zipf.txt,4,8,1.0,1,9134,90855,96.5047,208.0,42.7451,0.09134,91.34,0.001,1.0,"{'bank_0': 0.60102, 'bank_1': 0.57078, 'bank_2': 0.62784, 'bank_3': 0.62676, 'bank_4': 0.62784, 'bank_5': 0.60948, 'bank_6': 0.66042, 'bank_7': 0.59004}"
fcfs,workload3_zipf.txt,8,8,1.0,1,10704,89281,127.4104,269.0,73.6458,0.10704,107.04,0.0017,1.0,"{'bank_0': 0.72756, 'bank_1': 0.74466, 'bank_2': 0.75852, 'bank_3': 0.72396, 'bank_4': 0.70236, 'bank_5': 0.72162, 'bank_6': 0.7065, 'bank_7': 0.67356}"
fcfs,workload3_zipf.txt,16,8,1.0,1,12136,87841,184.3338,432.0,130.5681,0.12136,121.36,0.0022,1.0,"{'bank_0': 0.81594, 'bank_1': 0.8253, 'bank_2': 0.8451, 'bank_3': 0.82764, 'bank_4': 0.81216, 'bank_5': 0.76644, 'bank_6': 0.81612, 'bank_7': 0.82008}"
fcfs,workload3_zipf.txt,32,8,1.0,1,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,64,8,1.0,1,13616,86313,519.9588,1295.0,466.173,0.13616,136.16,0.0021,1.0,"{'bank_0': 0.94554, 'bank_1': 0.89424, 'bank_2': 0.92952, 'bank_3': 0.90846, 'bank_4': 0.91494, 'bank_5': 0.89424, 'bank_6': 0.9504, 'bank_7': 0.88992}"
fcfs,workload3_zipf.txt,32,2,1.0,1,3437,96529,977.7722,1858.0,923.9188,0.03437,34.37,0.0003,1.0,"{'bank_0': 0.96264, 'bank_1': 0.88938}"
fcfs,workload3_zipf.txt,32,4,1.0,1,6758,93206,524.7601,1424.0,470.9146,0.06758,67.58,0.0004,1.0,"{'bank_0': 0.96012, 'bank_1': 0.88128, 'bank_2': 0.9243, 'bank_3': 0.87534}"
fcfs,workload3_zipf.txt,32,8,1.0,1,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,32,16,1.0,1,23957,75995,186.0385,470.0,132.321,0.23957,239.57,0.0035,1.0,"{'bank_0': 0.84366, 'bank_1': 0.79506, 'bank_2': 0.79632, 'bank_3': 0.85536, 'bank_4': 0.81666, 'bank_5': 0.82692, 'bank_6': 0.82548, 'bank_7': 0.81018, 'bank_8': 0.8019, 'bank_9': 0.77058, 'bank_10': 0.78768, 'bank_11': 0.81162, 'bank_12': 0.79146, 'bank_13': 0.79488, 'bank_14': 0.79344, 'bank_15': 0.75654}"
fcfs,workload3_zipf.txt,32,8,0.5,1,12643,87318,305.0578,751.0,251.4451,0.12643,126.43,0.0025,1.0,"{'bank_0': 0.86634, 'bank_1': 0.83412, 'bank_2': 0.86508, 'bank_3': 0.85194, 'bank_4': 0.81954, 'bank_5': 0.83682, 'bank_6': 0.85806, 'bank_7': 0.85014}"
fcfs,workload3_zipf.txt,32,8,0.75,1,12597,87364,305.1039,859.0,251.3697,0.12597,125.97,0.0017,1.0,"{'bank_0': 0.85536, 'bank_1': 0.80478, 'bank_2': 0.8829, 'bank_3': 0.86004, 'bank_4': 0.84366, 'bank_5': 0.83556, 'bank_6': 0.85248, 'bank_7': 0.8379}"
fcfs,workload3_zipf.txt,32,8,1.0,1,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,32,8,1.25,1,13006,86955,298.2719,839.75,244.4546,0.13006,130.06,0.0017,1.0,"{'bank_0': 0.88884, 'bank_1': 0.8478, 'bank_2': 0.88128, 'bank_3': 0.91782, 'bank_4': 0.88938, 'bank_5': 0.84618, 'bank_6': 0.88524, 'bank_7': 0.84672}"
